Class Index,Title,Description
2,Iowa Expecting Capital One Invitation (AP),AP - Here's some advice from the Capital One Bowl for Iowa fans thinking about reserving flights to Orlando: Book them.
1,106 mainland enterprises listed outside mainland market,"By the end of August 2004, a total of 106 Chinese mainland enterprises had been listed on stockmarkets outside the mainland, an official from China Securities Regulatory Commission (CSRC) said here Friday."
4,Internet crackdown leads to over 100 arrests,"In what is being called the largest global crackdown ever conducted, the US Department of Justice #39;s  quot;Operation Web Snare quot; has led to over 100 arrests."
2,Williams vs Klitschko: When A Comet Crashes Into A Tower,"09.12.04 - By Janne Romppainen: Unlike many perhaps expected beforehand, in the year 2004 the heavyweight division has given the fans plenty of interesting fights."
4,Dell Gets \$700M Deal From Royal Philips,"Dell Inc. said Thursday that it has won a \$700 million, 5-year contract to provide computers and services for Royal Philips Electronics."
1,Zimbabwe condemns Tsvangirai acquittal,"Zimbabwe #39;s government has condemned the acquittal of opposition leader Morgan Tsvangirai on charges of plotting to assassinate President Robert Mugabe, saying a guilty man had been allowed to walk free."
4,4 Firms to Vie for Army Intelligence Support Work,"Four companies were chosen to compete for work to be assigned under a five-year, \$209 million contract to provide information technology, management and intelligence support services to the Army Intelligence and Security Command."
2,The Knicks Make It Seem Like Old Times,"For half of the first quarter, the Nets looked like the team that had dominated the Knicks for the past three seasons. But with Jason Kidd still limited to 20 "
1,Rocket Attack Kills 2 U.S. Troops in Iraq (AP),"AP - Two soldiers from Task Force Baghdad were killed and five wounded Monday in a rocket attack in southern Baghdad, the military said."
2,Cavs' Traylor Out With Broken Finger (AP),AP - Cavaliers forward Robert Traylor will miss three to four weeks after breaking his left pinkie against the New Jersey Nets.
2,"NFL: Philadelphia 19, Chicago 9",Donovan McNabb passed for 237 yards and a touchdown Sunday as the Philadelphia Eagles posted a 19-9 victory over the Chicago Bears.
3,Worldwide pants: trade flap between US and China,"Beijing this weekend urged Washington, DC, not to limit imports of Chinese cotton slacks. The Ministry of Commerce said such a restriction would violate World Trade Organization principles and hurt trade relations."
4,"Sony camera blends photos, video",The company's latest digital camera includes advanced video features.
1,Kerry says Bush trying to shift topic,Democrat John Kerry said Tuesday that President Bush  #39; #39;didn #39;t talk reality at the United Nations #39; #39; and pressed him to answer questions about policies that Kerry said have made Iraq a violent mess.
3,AT amp;T Agrees to Pay \$100 Million to Settle Lawsuit (Update2),"AT amp;T Corp., the largest US long- distance telephone company, agreed to pay \$100 million to settle lawsuit by shareholders who sought \$2."
1,Pakistan forces hunt for militant,Pakistani troops hunting for militant leader Abdullah Mehsud clash again with insurgents.
4,Hackers reopen stolen code store,"CROOKS HAVE reopened their online store to flog the stolen source code of Cisco #39;s PIX firewall software. The Source Code Club were offering the nicked Cisco code for a mungingly cheap \$24,000, also up for "
2,Peterson takes reins for Eagles,"Boston College football coach Tom O'Brien cast his die yesterday by selecting senior Paul Peterson as the starting quarterback for the Eagles' swan song season in the Big East, one that could have huge implications before their departure to the Atlantic Coast Conference next July."
2,Mularkey Sticking With Bledsoe As Bills QB (AP),AP - Mike Mularkey has a message to those clamoring for rookie quarterback J.P. Losman to replace Drew Bledsoe as Buffalo's starter. Not yet.
3,Top Enron official pleads guilty,"Enron's ex-head of investor relations pleads guilty to fraud, pays a penalty of \$1.49m and agrees to testify against his ex-bosses."
2,Park #39;s confidence evident in her game,"After opening the Samsung World Championship with a 10-under 62, she felt she might go just as low in the second round Friday. She left a few birdie putts short, but finished with a 67 to open a four-shot "
3,First stop on the hydrogen highway,"LOS ANGELES - California Governor Arnold Schwarzenegger dedicated a pioneering hydrogen fuelling station on Friday, calling it the first stop in a  quot;hydrogen highway quot; that would some day stretch across the state as drivers switch to the cleaner-burning fuel "
1,Pentagon rebuffs troop criticism,The Pentagon tries to deflect charges that there were not enough troops on the ground at the time of the Iraq invasion.
3,"Alitalia, Unions Agree on Job Cuts; Rescue Proceeds (Update1)","Alitalia SpA, Italy #39;s largest airline, reached a government-brokered agreement with its labor unions that will allow the carrier to cut about 3,700 jobs and gain funding for a plan to reorganize the company."
3,SA must improve productivity - IMF,International Monetary Fund (IMF) managing director Rodrigo de Rato said that formidable challenges existed in South Africa #39;s economy and that the country needed to increase its growth rate for unemployment to erode.
3,House price slide puts rates on hold,"Halifax says price of average home fell 1.1 per cent last month. Bank not expected to act until next year. By Philip Thornton, Economics Correspondent."
3,Two Investment Banks Settle with SEC," WASHINGTON (Reuters) - Deutsche Bank Securities Inc.  and  Thomas Weisel Partners agreed to pay a combined \$100 million to  settle charges involving conflicts of interest between research  and investment banking, U.S. regulators said on Thursday."
2,Tanks closing in on Unit,"Finally, Randy Johnson is close to becoming a Yankee. The Yankees yesterday reached agreement on the players in a three-team blockbuster that would land the coveted lefthander, Newsday learned last night."
3,Takeover bid for British grocer J Sainsbury,"LONDON : Britain #39;s third-biggest grocer, J Sainsbury, is the target of a five-billion-pound (7.2-billion-euro, 9.1-billion-dollar) takeover bid."
3,Treasuries Plunge on Huge Payrolls Rise, NEW YORK (Reuters) - Treasuries prices plunged on Friday  after a startlingly strong U.S. jobs report confounded  speculation the Federal Reserve might soon pause in its rate  hikes.
1,Edwards Faults Bush for Overtime Pay Cuts (Reuters),Reuters - Vice presidential candidate John\Edwards on Saturday assailed a new Bush administration policy\that excludes millions of Americans from overtime pay and\promised that the Democratic ticket would ensure that workers\are rewarded for their efforts.
4,"Penn State Tells 80,000 Students To Chuck IE","A public university with an enrollment of over 80,000 puts the kibosh on Microsoft #39;s Internet Explorer. A public university with an enrollment of over 80,000 put the kibosh this week on Microsoft #39;s Internet "
3,Magna Int'l Names Mark Hogan as President," TORONTO (Reuters) - Canada's Magna International &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MGa.TO target=/stocks/quickinfo/fullquote""&gt;MGa.TO&lt;/A&gt;,  the world's seventh-largest auto-parts supplier, named Mark  Hogan as its president on Friday and said he will be based in  Detroit."
2,Point of fact: Miller among elite,"When Andre Miller led the NBA with 10.9 assists a game in 2001-02, he had the first stamp of success required to enter the league #39;s pantheon of premier point guards."
4,Poor nations on front line of operating-system wars (USATODAY.com),"USATODAY.com - Experts say countries from Brazil to Russia to China are shunning Bill Gates' proprietary Windows operating system in favor of open source systems such as Linux, mounting a major challenge to Microsoft's global dominance."
3,"Stocks Fall, Jolted by Oil and Greenspan"," NEW YORK (Reuters) - U.S. stocks dropped on Friday as  investors were jolted by a jump in oil prices and comments by  U.S. Federal Reserve Chairman Alan Greenspan, who gave a blunt  reminder that interest rates were bound to go up and warned the  appetite for U.S. assets would eventually dwindle."
4,"With the dawn of space tourism, the jet jockey returns","After a ride of some 50 miles straight up, SpaceShipOne paused poetically in the weightless black above the Mojave Desert."
2,Beckham wasnt interested in The Pink Panther,"Football star David Beckham said Monday that he turned down a good part in MGMs The Pink Panther, staring Steve Martin, Kevin Kline, Beyonce Knowles and Jean Reno."
4,Phishers develop sophisticated lure,"Fraudsters have developed phishing emails capable of automatically stealing bank log-in details without requiring users to click on a website link, email filtering firm MessageLabs warns."
2,Man United midfielder Roy Keane charged with assault,"Manchester United midfielder Roy Keane was on Wednesday charged with assault and criminal damage over an alleged confrontation with a 16-year-old boy, police said."
2,Rooney scores hat trick in debut for Manchester United,"In his debut for Manchester United on Tuesday, the 18-year-old England striker scored three goals as United thrashed Turkey #39;s Fenerbahce 6-2 in the second rotation of the Champions League."
4,Can Firefox Browser Derail Microsoft?,"Much like Linux, the Firefox browser has become an open-source phenomenon. More than five million people have downloaded the preview version of the free product -- developed by the non-profit "
3,Airline to raise number of flights,"ARLINGTON, Va. -- US Airways Group Inc. , operating in bankruptcy, will increase service from Charlotte, N.C., and Philadelphia and spread flights during the day, boosting its schedule 7 percent without adding aircraft."
